	Ribo	Proba_0	Proba_1
SRR900290_output	0.0	0.6022258547244074	0.39777414527559246
SRR900289_output	0.0	0.5838986693472369	0.41610133065276306
SRR900288_output	0.0	0.561424798511976	0.438575201488024
SRR900287_output	0.0	0.5896635167615649	0.4103364832384349
SRR900286_output	0.0	0.5844937630189708	0.4155062369810291
SRR900285_output	0.0	0.6128729924844696	0.3871270075155302
SRR900284_output	0.0	0.5739012251316262	0.4260987748683736
SRR900283_output	0.0	0.6152453570008356	0.38475464299916423
SRR900282_output	0.0	0.6034799031739982	0.39652009682600153
SRR900281_output	0.0	0.5928632783435918	0.407136721656408
SRR900280_output	0.0	0.5425626565350717	0.4574373434649281
SRR900279_output	0.0	0.6111456783908022	0.38885432160919753
SRR900278_output	0.0	0.5430507995618779	0.4569492004381221
SRR900277_output	0.0	0.5716205941196033	0.4283794058803966
SRR900276_output	0.0	0.5799977439392621	0.4200022560607377
SRR900275_output	0.0	0.5617761327645979	0.43822386723540196
